Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-11-09,45238.14,45302.54,44187.56,44479.23,240743008
2015-11-10,44474.34,44474.79,43772.75,44359.89,236354880
2015-11-11,44353.63,44646.58,44219.87,44347.91,162489232
2015-11-12,44351.17,44351.17,44083.62,44120.52,158703344
2015-11-13,44120.82,44266.22,43458.11,43617.73,230198192
2015-11-17,43614.39,44219.79,43614.39,44184.65,277942048
2015-11-18,44182.25,44505.59,44118.98,44505.59,251937328
2015-11-19,44519.85,44762.53,44460.79,44620.6,249181200
2015-11-20,44621.41,44997.69,44587.65,44895.02,183455344
2015-11-23,44878.78,44925.34,44743.2,44779.14,137604128
2015-11-24,44777.71,44777.71,44421.17,44576.23,166916896
2015-11-25,44576.23,44649.11,44040.08,44138.75,179812704
2015-11-26,44137.19,44377.59,44053.23,44374.52,66396768
2015-11-27,44387.1,44420.65,43895.82,44247.98,128831024
2015-11-30,44241.29,44412.07,43382.13,43418.55,688934272
2015-12-01,43418.55,43984.9,43368.84,43984.9,261570432
2015-12-02,43984.39,44024.95,43386.18,43417.05,174599344
2015-12-03,43423.02,43496.24,42756.47,43027.3,170154656
2015-12-04,43033.01,43220.69,42810.47,42994.23,191821200
2015-12-07,42997.58,43103.59,42648.06,42655.24,181312880
2015-12-08,42653.08,42710.62,42214.74,42236.74,246723024
2015-12-09,42260.37,42796.08,42260.37,42398.06,253849840
2015-12-10,42399.5,42621.18,42352.73,42447.77,198413968
2015-12-11,42447.59,42494.74,41907.79,42000.63,216993728
2015-12-14,41997.27,42057.31,41514.77,41901.96,197407664
2015-12-15,41902.77,43156.19,41902.77,42905.2,291960896
2015-12-16,42909.02,43497.62,42909.02,43429.72,220469968
2015-12-17,43435.94,43780.26,43361.46,43503.52,276495584
2015-12-18,43504.42,43507.84,42863.99,42936.63,415423968
2015-12-21,42958.01,43392.72,42958.01,43160.61,301740672
2015-12-22,43158.56,43619.71,43152.57,43328.72,227811264
2015-12-23,43329.43,43787.3,43241.54,43579.67,200485104
2015-12-24,43579.08,43774.69,43527.24,43528.27,47924924
2015-12-28,43528.41,43535.5,43347.28,43396.16,139003248
2015-12-29,43410.69,43643.08,43298.89,43391.78,119282544
2015-12-30,43376.54,43520.78,43010.55,43012.37,101061360
2015-12-31,43007.74,43030.13,42690.62,42977.5,70581008
2016-01-04,42963.9,42963.9,41897.48,42113.7,120036432
2016-01-05,42118.6,42346.14,41859.27,42041.68,179082976
2016-01-06,42039.23,42039.23,41627.98,41691.19,188000400
2016-01-07,41688.75,41688.75,40611.3,40661.57,268984544
2016-01-08,40661.81,41242.56,40154.94,40265.37,378942176
2016-01-11,40254.5,40749.68,40128.47,40706.89,219988224
2016-01-12,40717.99,41070.93,40717.99,41022.74,220037696
2016-01-13,41026.55,41270.94,40463.64,41008.78,213902400
2016-01-14,41010.57,41385.53,40731.8,41352.75,161798080
2016-01-15,41350.3,41350.3,40298.02,40847.7,266087344
2016-01-18,40842.82,40854.64,40440.36,40604.79,37544016
2016-01-19,40611.85,41136.49,40494.06,40809.25,227396144
2016-01-20,40807.22,40845.03,39924.09,40844.41,246221200
2016-01-21,40833.27,41339.49,40557.33,41166.88,259910896
2016-01-22,41207.98,41744.42,41207.98,41621.31,259836272
2016-01-25,41623.23,41678.35,41344.25,41476.35,147135168
2016-01-26,41474.45,42037.56,41451.2,41932.39,195380800
2016-01-27,41923.43,42394.09,41823.88,42109.89,367714912
2016-01-28,42101.08,42445.45,42055.27,42393.02,255049040
2016-01-29,42386.23,43631.18,42370.98,43630.77,387225408
2016-02-02,43639.92,43639.92,42884.51,43092.49,352251840
2016-02-03,43120.67,43306.38,42916.01,43257.54,272639264
2016-02-04,43255.1,44260.23,43255.1,43751.93,370305536
2016-02-05,43759,43833.76,43215.97,43229.67,227483568
2016-02-08,43229.79,43229.79,42546.63,42774.85,208231952
2016-02-09,42775.69,42887.39,42192.79,42399.19,325410720
2016-02-10,42401.91,42936.86,42268.86,42535.74,250611584
2016-02-11,42540.46,42540.46,41757.4,42359.26,227799840
2016-02-12,42351.12,42635.65,42275.79,42416.44,191719040
2016-02-15,42414.81,43223.96,42414.81,43205.91,61269564
2016-02-16,43205.43,43352.38,42847.5,43100.32,186711120
2016-02-17,43103.31,43585.31,43019.65,43585.23,420655584
2016-02-18,43561.06,43731.67,43278.8,43516.66,288607296
2016-02-19,43517.16,43618.6,43219.33,43375.31,181943328
2016-02-22,43379.17,43882.23,43379.17,43546.72,259764928
2016-02-23,43550.79,43672.97,43143.59,43216.58,181234496
2016-02-24,43221.06,43234.37,42364.89,43173.73,260815872
2016-02-25,43177.53,43445.15,42938.99,43434.55,169098944
2016-02-26,43449.91,43611.7,43239.4,43473.37,113039128
2016-02-29,43475,43723.86,43326.94,43714.93,339221792
2016-03-01,43717.65,44280.18,43715.99,44214.5,287428800
2016-03-02,44198.39,44739.01,44165.6,44615.75,285516704
