Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-10-04,5983.31,6009.81,5976.12,5998.84,334213793
2017-10-05,6018.27,6059.21,6014.77,6057.14,323391379
2017-10-06,6037.44,6064.68,6037.02,6064.57,300425862
2017-10-09,6071.97,6078.81,6051.33,6058.53,257003448
2017-10-10,6078.27,6084.14,6036.72,6063.52,310241379
2017-10-11,6062.73,6082.25,6052.44,6081.25,315579310
2017-10-12,6072.21,6093.76,6063.47,6069.99,344908621
2017-10-13,6094.72,6100.06,6087.03,6092.45,302784483
2017-10-16,6108.66,6115.53,6095.63,6114.53,280944828
2017-10-17,6111.32,6122.82,6103.66,6122.61,284006897
2017-10-18,6128.91,6129.49,6106.85,6114.35,298970690
2017-10-19,6074.28,6092.87,6051.47,6092.62,314458621
2017-10-20,6114.46,6122.56,6102.16,6108.82,309450000
2017-10-23,6122.23,6122.23,6061.08,6067.83,311951724
2017-10-24,6078.02,6090.89,6057.69,6080.22,317696552
2017-10-25,6069.35,6087.58,6011.24,6055.04,377710345
2017-10-26,6056.05,6066.61,6035.95,6037.87,363484483
2017-10-27,6138.23,6223.52,6129.8,6213.47,414413793
2017-10-30,6209.8,6250.85,6202.53,6227.59,347179310
2017-10-31,6241.88,6258.42,6229.15,6248.56,352394828
2017-11-01,6274.26,6276.66,6224.58,6248.65,354631034
2017-11-02,6238.29,6243.74,6194.58,6236.39,390162069
2017-11-03,6266.19,6297.63,6237.65,6295.58,378450000
2017-11-06,6292.15,6318.58,6291.84,6313.61,373529310
2017-11-07,6314.69,6328.58,6299.53,6320.78,380218966
2017-11-08,6319.03,6346.98,6308.63,6345.81,363963793
2017-11-09,6295.29,6315.16,6248.29,6312.21,385375862
2017-11-10,6297.15,6313.18,6284.22,6309.07,340339655
2017-11-13,6286.02,6325.18,6285.97,6316.18,340308621
2017-11-14,6293.32,6300.47,6263.77,6293.64,342039655
2017-11-15,6261.27,6276.81,6227.99,6258.36,329079310
2017-11-16,6293.46,6352.47,6293.46,6339.14,345331034
2017-11-17,6343.64,6345.56,6308.48,6314.51,342774138
2017-11-20,6319.57,6324.59,6301.88,6308.61,310496552
2017-11-21,6336.91,6380.07,6336.26,6378.63,324750000
2017-11-22,6384.13,6391.16,6371.75,6386.12,273827586
2017-11-24,6393.33,6410.77,6389.4,6409.29,146296552
2017-11-27,6409.52,6420.21,6392.01,6405.97,305758621
2017-11-28,6419.48,6426.04,6385.32,6422.56,344898276
2017-11-29,6412.7,6412.7,6279.36,6311.38,422906897
2017-11-30,6337.34,6374.19,6321.43,6365.56,423893103
2017-12-01,6325.61,6365.3,6244.84,6337.87,395443103
2017-12-04,6380.68,6380.77,6256.82,6263.7,418374138
2017-12-05,6242.47,6337.06,6235.77,6265.11,359231034
2017-12-06,6243.73,6304.1,6234.22,6293.05,326181034
2017-12-07,6300.65,6333.29,6290.65,6316.28,333468966
2017-12-08,6364.6,6377.55,6335.23,6344.57,311386207
2017-12-11,6351.24,6394.43,6347.91,6393.89,313615517
2017-12-12,6389.47,6403.5,6371.69,6383.65,320958621
2017-12-13,6405.41,6416.83,6388.41,6394.67,330958621
2017-12-14,6407.25,6423.68,6386.25,6389.91,342275862
2017-12-15,6405.15,6470.92,6405.04,6466.32,605244828
2017-12-18,6504.89,6522.7,6495.18,6513.27,369717241
2017-12-19,6505.36,6510.87,6462.79,6480.67,357079310
2017-12-20,6504.55,6504.55,6447.93,6472.48,323198276
2017-12-21,6481.08,6501.52,6467.78,6472.69,313037931
2017-12-22,6462.55,6467.83,6449,6465.17,265387931
2017-12-26,6427.32,6438.24,6408,6433.16,224886207
2017-12-27,6437.06,6448.94,6425.92,6435.15,243024138
2017-12-28,6449.52,6452.07,6432.68,6441.42,226089655
2017-12-29,6439.91,6442.53,6396.42,6396.42,270987931
2018-01-02,6431.59,6513.02,6417.75,6511.34,330160345
2018-01-03,6520.03,6579.25,6519.26,6575.8,373582759
2018-01-04,6595.75,6603.17,6576.92,6584.58,361877586
2018-01-05,6613.13,6654.98,6605.03,6653.29,348431034
2018-01-08,6651.68,6680.32,6649.2,6676.63,353694828
2018-01-09,6692.88,6696.12,6658.27,6677.94,2457051724
2018-01-10,6640.67,6663.51,6619.35,6662.66,365989655
2018-01-11,6675.69,6708.49,6664.74,6708.49,346506897
2018-01-12,6699.32,6763.98,6695.52,6758.54,340724138
2018-01-16,6807.85,6835.79,6719.11,6737.14,409851724
2018-01-17,6767.85,6820.04,6738.45,6810.28,385874138
2018-01-18,6804.59,6826.79,6784.72,6811.38,349348276
2018-01-19,6829.04,6843.24,6801.59,6834.33,344356897
2018-01-22,6829.55,6906.28,6822.86,6906.28,363115517
2018-01-23,6928.27,6969.4,6926.37,6963.46,365489655
2018-01-24,6975.38,6992.91,6880.68,6919.35,392587931
2018-01-25,6965.01,6967.6,6894.84,6916.3,355422414
2018-01-26,6956.66,7022.97,6941.48,7022.97,355001724
2018-01-29,7000.68,7020.65,6974.7,6988.32,362651724
2018-01-30,6910.39,6958.79,6894.63,6930.73,373100000
2018-01-31,6972.81,6983.61,6915.48,6949.99,415093103
2018-02-01,6910.57,6970.77,6879.02,6901.5,395117241
2018-02-02,6866.38,6889.07,6756.54,6760.29,446167241
2018-02-05,6687.47,6807.97,6495.39,6495.92,535667241
2018-02-06,6378.6,6673.41,6370.48,6665.98,539832759
2018-02-07,6632.98,6716.25,6581.38,6582.02,408098276
2018-02-08,6595.81,6606.05,6304.18,6306.1,466844828
2018-02-09,6395.16,6453.43,6164.43,6412.68,544136207
2018-02-12,6477.04,6565.28,6424.3,6523.85,386279310
2018-02-13,6482.77,6567.62,6478.41,6553.86,313218966
2018-02-14,6523.25,6684.15,6520.39,6675.03,381286207
2018-02-15,6734.34,6795.92,6665.92,6794.92,363913793
2018-02-16,6778.28,6840.6,6758.51,6770.66,348246552
2018-02-20,6742.15,6838,6740.48,6779.7,329512069
2018-02-21,6808.6,6879.47,6759.22,6759.26,335518966
2018-02-22,6793.08,6826.01,6744.05,6761.85,329637931
2018-02-23,6816.43,6897.54,6789.02,6896.6,324044828
2018-02-26,6933.82,6989.36,6927.46,6989.1,321829310
2018-02-27,6984.84,7003.14,6900.35,6900.35,371698276
2018-02-28,6945.2,6964.16,6854.42,6854.42,409289655
2018-03-01,6862.94,6892.38,6687.43,6750.54,429144828
2018-03-02,6661.91,6820.37,6645.03,6811.04,394365517
2018-03-05,6777.63,6901.63,6753.83,6881.28,356267241
2018-03-06,6919.79,6937.03,6872.06,6913.02,364236207
2018-03-07,6855.57,6935.48,6850.91,6929.39,377970690
2018-03-08,6955.85,6971,6931.35,6966.43,391743103
2018-03-09,7014.84,7101.31,7007.3,7101.18,397056897
2018-03-12,7122.47,7156.25,7108.04,7131.12,395593103
2018-03-13,7172.25,7186.09,7025.82,7046.51,422212069
2018-03-14,7077.86,7084.07,7012.57,7040.98,362836207
2018-03-15,7050.66,7075.55,7010.01,7030.97,343374138
2018-03-16,7058.13,7061.67,7011.69,7019.95,525343103
2018-03-19,6945.97,6949.02,6806.16,6864.88,400763793
2018-03-20,6871.09,6902.23,6845.84,6885.92,339256897
2018-03-21,6863.29,6930.7,6828.88,6853.45,342825862
2018-03-22,6763.94,6809.94,6679.35,6682.26,404682759
2018-03-23,6683.19,6708.58,6507.84,6508.09,412139655
2018-03-26,6644.4,6760.66,6538.79,6753.83,401044828
2018-03-27,6791.39,6793.5,6479.56,6529.84,401032759
2018-03-28,6488.02,6559.88,6410.04,6460.81,434253448
2018-03-29,6493.51,6640.76,6435.68,6581.13,431810345
2018-04-02,6528.23,6560.96,6322.61,6390.84,412884483
2018-04-03,6448.05,6485.27,6343.9,6458.83,401467241
2018-04-04,6326.54,6578.56,6326.54,6560.06,388632759
2018-04-05,6619.22,6632.21,6550.28,6594.84,366320690
2018-04-06,6514.48,6587.36,6402.03,6433.21,405265517
2018-04-09,6488.48,6604.26,6466.04,6472.34,358775862
2018-04-10,6585.52,6639.97,6534.89,6615.87,385994828
2018-04-11,6578.84,6650.29,6574.88,6583.44,319331034
2018-04-12,6627.32,6682.69,6618.81,6656.26,348467241
2018-04-13,6696.02,6703.31,6598.34,6628.34,300627586
2018-04-16,6675.92,6699.76,6633.08,6675.18,309646552
2018-04-17,6738.65,6834.31,6729.79,6816.37,329867241
2018-04-18,6824.59,6856.96,6788.32,6833.21,326417241
2018-04-19,6793.07,6815.04,6749.07,6774.89,338612069
2018-04-20,6754.68,6757.68,6642.84,6667.75,331343103
2018-04-23,6699.16,6721.66,6613.56,6648.8,299546552
2018-04-24,6680.88,6688.89,6464.74,6509.05,370560345
2018-04-25,6514.32,6540.77,6426.57,6513.94,349429310
2018-04-26,6606.61,6673.65,6579.12,6649.65,366748276
2018-04-27,6748.59,6750.78,6619.26,6656.35,349574138
2018-04-30,6669.44,6712.5,6593.6,6605.57,342589655
2018-05-01,6592.93,6685.41,6578.25,6681.96,332605172
2018-05-02,6694.52,6715.97,6637.96,6644.48,369689655
2018-05-03,6608.7,6667.29,6539.86,6643.48,404437931
2018-05-04,6618.7,6783.36,6612.39,6769.12,348660345
2018-05-07,6803.45,6846.46,6796.06,6821.87,334479310
2018-05-08,6813.91,6830.87,6770.3,6815.48,354281034
2018-05-09,6830.55,6895.93,6807.4,6893.21,386462069
2018-05-10,6909.18,6966.93,6906.77,6963.55,385079310
2018-05-11,6948.88,6969.3,6923.61,6952.56,359143103
2018-05-14,6977.35,7008.26,6954.65,6964.37,357874138
2018-05-15,6909.32,6912.04,6852.73,6888.54,364489655
2018-05-16,6892.89,6944.54,6891.65,6929.97,359251724
2018-05-17,6905.75,6952.98,6869.39,6901.63,333051724
2018-05-18,6876.65,6897.91,6857.58,6866.25,339087931
2018-05-21,6920.32,6948.27,6876.36,6905.53,336051724
2018-05-22,6934.7,6947.43,6883.75,6893.62,329013793
2018-05-23,6847.27,6954.7,6846.94,6953.63,341456897
2018-05-24,6951.52,6963.68,6882.57,6949.7,343527586
2018-05-25,6951.47,6982.52,6941.85,6960.92,303044828
2018-05-29,6928.5,6964.66,6887.13,6926.54,359891379
2018-05-30,6955.59,6987.63,6938.02,6976.37,353353448
2018-05-31,6969.93,7016.42,6956,6967.73,433553448
2018-06-01,7010.08,7084.84,7008.02,7083.93,380793103
2018-06-04,7099.5,7146.77,7099.09,7143.57,369446552
2018-06-05,7162.41,7179.82,7137.13,7166.75,354936207
2018-06-06,7180.24,7212.45,7140.91,7210.08,377887931
2018-06-07,7212.43,7212.43,7115.86,7152.83,401427586
2018-06-08,7121.76,7161.92,7100.73,7152.62,334755172
2018-06-11,7149.65,7187.45,7146.09,7168.48,334989655
2018-06-12,7181.67,7214.49,7173.76,7209.18,345993103
2018-06-13,7219.57,7261.17,7193.02,7205.26,374615517
2018-06-14,7233.7,7291.31,7233.7,7279.59,377281034
2018-06-15,7245.16,7268.84,7220.97,7255.76,524791379
2018-06-18,7201.18,7256.43,7186.16,7251.41,361025862
2018-06-19,7158.8,7229.98,7138.02,7228.04,391206897
2018-06-20,7264.85,7309.99,7256.87,7280.71,397431034
2018-06-21,7304.06,7308.26,7203.93,7217.49,399289655
2018-06-22,7239.72,7239.75,7177.46,7197.51,677300000
2018-06-25,7131.05,7144.29,6976.97,7038.17,416394828
2018-06-26,7061.23,7108.45,7040.06,7068.2,354937931
2018-06-27,7096.61,7128.77,6968.3,6969.67,394212069
2018-06-28,6963.37,7055.25,6950.23,7031.6,378517241
2018-06-29,7071.49,7101.82,7031.4,7040.8,377932759
2018-07-02,6979.54,7099.27,6969.16,7097.82,304812069
2018-07-03,7121.72,7122.45,7009.51,7014.55,203329310
2018-07-05,7064,7105.54,7025.25,7101.05,300867241
